,CONTENTID,CONTENTTYPEID,CAT1,CAT2,CAT3,TITLE,SIDOCODE,SIGUNGUCODE,ADDRESS,CREATEDTIME,MODIFIEDTIME,MAPX,MAPY,MLEVEL,FIRSTIMAGE,MCATEGORY,SCATEGORY,SEARCHCOUNT,OVERVIEW,DATA
0,2836227,39,A05,A0502,A05020100,또순이네,1,1020,서울특별시 영등포구 선유로47길 16 오오1004빌딩 ,20220800000000.0,20220900000000.0,126.8954017,37.53592854,6,http://tong.visitkorea.or.kr/cms/resource/14/2836214_image2_1.jpg,음식,한식,53228,"또순이네는 지하철 9호선 5번 출구 선유고등학교 부근에 있다. 대표 메뉴는 등심, 토시살이며 또순이네 된장찌개도 소문난 메뉴이다. 유명한 맛집 TV 프로그램에 소개된 적이 있다. 화로에 얹어서 끓여 먹는 된장찌개는 뚝배기에 내용물을 가득 채워 나온다. 단, 오후 2시까지만 된장찌개 식사가 가능하다. 넓은 주차장을 갖추고 있으며 인근에 당산 먹자골목도 있다. 또한, 인근에 양화한강공원, 선유도, 망원한강공원, 양화진 역사 공원 등 둘러볼 곳도 많다.",또순이 선유 부근 대표 메뉴 등심 토시 살이 또순이 된장찌개 메뉴 맛집 프로그램 소개 적 화로 된장찌개 뚝배기 내용물 가득 오후 된장찌개 식사 주차장 당산 골목 또한 양화 한강 공원 선유도 망원 한강 공원 양화진 역사 공원 곳도
1,2757826,39,A05,A0502,A05020100,영동설렁탕,1,1015,서울특별시 서초구 강남대로101안길 24 (잠원동),20211000000000.0,20221200000000.0,127.0174022,37.51621079,6,http://tong.visitkorea.or.kr/cms/resource/96/2787996_image2_1.jpg,음식,한식,48397,30여 년간 한자리에서 운영된 이 식당은 아직도 허름한 식당 외관을 고수하고 있다. 이 집의 변함없는 맛을 보여주는 것 같다. 식당의 메뉴는 설렁탕과 수육 두 가지뿐이다. 이곳은 수육으로 이름나 있다. 큼지막하게 썰어 나온 무 깍두기와 겉절이 김치 역시 이 집의 자랑거리다.<br>3호선 신사역 신사동 간장게장 골목 건너편 잠원동 먹자거리 내에 있다.,여 년 한자리 운영 식당 허름 식당 외관 고수 집의 맛 식당 메뉴 설렁탕 수육 두 가지 수육 무 깍두기 겉절이 김치 역시 집의 자랑거리 신사역 신사동 간장게장 골목 건너편 잠원동
2,132815,39,A05,A0502,A05020100,토속촌삼계탕,1,1023,서울특별시 종로구 자하문로5길 5 ,20040200000000.0,20230200000000.0,126.9715936,37.57761672,6,http://tong.visitkorea.or.kr/cms/resource/94/2018594_image2_1.jpg,음식,한식,38954,"[전통 삼계탕 계승 및 발전, 신토불이 재료 사용 업소] 경복궁역에 위치한 ''토속촌 삼계탕''은 서울 시내에서 모르는 사람이 없을 정도로 유명한 삼계탕집이다. 특히 故 노무현 대통령이 즐겨 찾던 곳으로 소문이 나서 그 유명세가 더욱 커졌다. 이 집에서는 토종닭, 4년산 인삼, 밤, 대추, 마늘, 생강, 율무, 들깨, 호박씨, 해바라기씨, 호두, 잣, 검정깨 등의 재료를 농장에서 직접 키우고, 생산한다고 한다. 식사 시간에 찾아가면 줄을 서서  기다려야 하지만 내부가 워낙 크기 때문에 오래 기다릴 염려는 없다. 토속촌에는 삼계탕 외에도 오골삼계탕, 옻닭, 파전, 전기 통닭구이 등 메뉴가 다양하다.",전통 삼계탕 계승 발전 신토 불 재료 사용 경복궁역 토속 삼계탕 사람 삼계탕 노무현 대통령 소문 유명 세 더욱 토종닭 인삼 밤 대추 마늘 생강 율무 들깨 호박 해바라기씨 호두 잣 검정 깨 재료 농장 직접 생산 식사 시간 줄 서서 내부 워낙 크기 염려 토속 삼계탕 골 삼계탕 옻닭 파전 전기 통닭구이 메뉴
3,2678890,39,A05,A0502,A05020100,토속촌삼계탕,1,1023,서울특별시 종로구 자하문로5길 5 ,20201000000000.0,20220400000000.0,126.9716463,37.57765561,6,http://korean.visitkorea.or.kr/resources/images/common/no_img_01.png,음식,한식,38954,보양식으로 토속 삼계탕을 먹을 수 있는 곳이다. 서울특별시 종로구에 있는 한식전문점이다. 대표메뉴는 삼계탕이다.,보양식 토속 삼계탕 종로구 한식 전문점 대표 메뉴 삼계탕
4,2782140,39,A05,A0502,A05020100,진미평양냉면,1,1001,서울특별시 강남구 학동로 305-3 (논현동),20211100000000.0,20221200000000.0,127.0360561,37.51620279,6,http://tong.visitkorea.or.kr/cms/resource/36/2782236_image2_1.png,음식,한식,37437,"임세권 셰프가 운영하는 평양냉면 전문점으로 2018년, 2021년 미슐랭 가이드 서울로 선정되었다. TV 예능프로그램 수요미식회 128회 방송에서 냉면 제육 맛집으로 소개되었다.",권 셰프 운영 평양 냉면 전문점 미슐랭 가이드 선정 예능 프로그램 요미 회 방송 냉면 제육 맛집 소개
5,2685594,39,A05,A0502,A05020100,삼청각,1,1017,서울특별시 성북구 대사관로 3 ,20201100000000.0,20210300000000.0,126.9835391,37.59742297,6,http://tong.visitkorea.or.kr/cms/resource/42/2684742_image2_1.jpg,문화관광,기타문화관광지,31975,아름다운 자연 환경 속에서 한정식을 즐길 수 있다. 서울특별시 성북구에 있는 한식전문점이다. 대표메뉴는 한정식이다.,자연 환경 한정식 성북구 한식 전문점 대표 메뉴 한정식
6,2689422,39,A05,A0502,A05020100,함경도찹쌀순대,1,1018,서울특별시 송파구 송파대로28길 32 ,20201100000000.0,20221100000000.0,127.1213406,37.4947957,6,http://tong.visitkorea.or.kr/cms/resource/19/2684719_image2_1.jpg,음식,한식,30702,함경도식 찹쌀순대가 들어간 순대국 맛집이다. 대표메뉴는 순대다. 서울특별시 송파구에 있는 한식전문점이다.,함경도 찹쌀 대가 대국 맛집 대표 메뉴 순대 송파구 한식 전문점
7,2751840,39,A05,A0502,A05020100,중앙해장,1,1001,서울특별시 강남구 영동대로86길 17 (대치동),20210900000000.0,20231000000000.0,127.0655147,37.5083459,6,http://korean.visitkorea.or.kr/resources/images/common/no_img_01.png,음식,한식,29105,강남구 삼성역 근처에 위치한 해장국 전문점이다. 1980년부터 현재까지 전국의 유명 해장국집 및 고깃집에 납품해 온 중앙 축산에서 문을 연 식당이다. 푸짐한 양의 내장이 들어간 진한 국물 맛의 해장국이 인기 메뉴이다. 주말에는 웨이팅이 길다.,강남구 삼성역 근처 해장국 전문점 현재 전국 유명 해장국 고깃집 납품 중앙 축산 문 연 식당 짐 양 내장 국물 맛 해장국 인기 메뉴 주말 웨이팅
8,403081,39,A05,A0502,A05020100,필동면옥,1,1024,서울특별시 중구 서애로 26 ,20080100000000.0,20221100000000.0,126.9970195,37.56044695,6,http://tong.visitkorea.or.kr/cms/resource/45/399445_image2_1.jpg,음식,한식,27287,대체로 북쪽 지방의 음식은 담백함이 그 특징이다. 특히 평양냉면은 함흥냉면과 달리 담백한 맛이 좋다. 그래서 필동면옥의 냉면은 화학 조미료에 익숙해진 입에는 다소 생소한 맛일 수 있지만 자극적이지 않고 순한맛을 좋아하는 사람들에게는 더 없는 별미라 할 수 있다. 진하고 깔끔한 육수의 맛은 쫄깃한 면발과 잘 어우러져 냉면의 맛을 더해준다. 속이 꽉 차고 먹음직스러운 평양식 만두도 필동면옥을 찾는 많은 사람들이 좋아하는 대표적인 메뉴이다.,대체로 지방 음식 특징 평양 냉면 함흥 냉면 달리 맛 필동 면옥 냉면 화학 조미료 입 다소 맛일 자극 맛 사람 별미 육수 맛 쫄깃 면발 냉면 맛 꽉 차고 먹음 직 평양 만두 필동 면옥 사람 대표 메뉴
9,2843816,39,A05,A0502,A05020100,감나무집기사식당,1,1013,서울특별시 마포구 연남로 25 ,20220800000000.0,20220900000000.0,126.9219152,37.56195099,6,http://tong.visitkorea.or.kr/cms/resource/12/2843812_image2_1.jpg,음식,한식,27006,"연남동에 있는 감나무집 기사식당은 돼지불백 맛집으로 유명하다. MBC 인기 프로그램 &lt;무한도전&gt;에 소개되어 입소문을 탔다. 대표메뉴인 돼지불백뿐만 아니라 두부찌개, 생선구이, 백반, 닭볶음탕 등 다양한 음식을 즐길 수 있다. 매장이 넓은 편이며 24시간 내내 오픈하여 어느 시간대에도 이용할 수 있다. 전용 무료 주차장이 넓어서 접근이 편리하다. 경의선 숲길 산책로가 가까워 식사 후 산책하기에 좋다.",연남동 감나무 식당 돼지 불 맛집 인기 프로그램 무한도전 소개 입 소문 대표 메뉴인 돼지 불 두부 찌개 생선 구이 백반 닭볶음탕 음식 매장 편이 내내 오픈 시간대 주차장 접근 경의선 숲길 산책로 식사 산책
